game_date,home_team,away_team,score_home,score_away
2019-02-23,Burnley,Spurs,2,1
2019-02-23,Newcastle,Huddersfield,2,0
2019-02-23,Bournemouth,Wolves,1,1
2019-02-23,Leicester,Crystal Palace,1,4
2019-02-22,West Ham,Fulham,3,1
2019-02-22,Cardiff,Watford,1,5
2019-02-11,Wolves,Newcastle,1,1
2019-02-10,Spurs,Leicester,3,1
2019-02-10,Man City,Chelsea,6,0
2019-02-09,Fulham,Man Utd,0,3
2019-02-09,Watford,Everton,1,0
2019-02-09,Southampton,Cardiff,1,2
2019-02-09,Liverpool,Bournemouth,3,0
2019-02-09,Huddersfield,Arsenal,1,2
2019-02-09,Crystal Palace,West Ham,1,1
2019-02-09,Brighton,Burnley,1,3
2019-02-06,Everton,Man City,0,2
2019-02-04,West Ham,Liverpool,1,1
2019-02-03,Leicester,Man Utd,0,1
2019-02-03,Man City,Arsenal,3,1
2019-02-02,Spurs,Newcastle,1,0
2019-02-02,Everton,Wolves,1,3
2019-02-02,Crystal Palace,Fulham,2,0
2019-02-02,Chelsea,Huddersfield,5,0
2019-02-02,Burnley,Southampton,1,1
2019-02-02,Brighton,Watford,0,0
2019-02-02,Cardiff,Bournemouth,2,0
2019-01-30,Southampton,Crystal Palace,1,1
2019-01-30,Bournemouth,Chelsea,4,0
2019-01-30,Spurs,Watford,2,1
2019-01-30,Liverpool,Leicester,1,1
2019-01-29,Wolves,West Ham,3,0
2019-01-29,Huddersfield,Everton,0,1
2019-01-29,Fulham,Brighton,4,2
2019-01-29,Arsenal,Cardiff,2,1
2019-01-29,Newcastle,Man City,2,1
2019-01-29,Man Utd,Burnley,2,2
2019-01-20,Huddersfield,Man City,0,3
2019-01-20,Fulham,Spurs,1,2
2019-01-19,Wolves,Leicester,4,3
2019-01-19,Watford,Burnley,0,0
2019-01-19,Southampton,Everton,2,1
2019-01-19,Newcastle,Cardiff,3,0
2019-01-19,Man Utd,Brighton,2,1
2019-01-19,Liverpool,Crystal Palace,4,3
2019-01-19,Bournemouth,West Ham,2,0
2019-01-19,Arsenal,Chelsea,2,0
2019-01-14,Man City,Wolves,3,0
2019-01-13,Spurs,Man Utd,0,1
2019-01-13,Everton,Bournemouth,2,0
2019-01-12,West Ham,Arsenal,1,0
2019-01-12,Leicester,Southampton,1,2
2019-01-12,Crystal Palace,Watford,1,2
2019-01-12,Cardiff,Huddersfield,0,0
2019-01-12,Burnley,Fulham,2,1
2019-01-12,Brighton,Liverpool,0,1
2019-01-12,Chelsea,Newcastle,2,1
2019-01-03,Man City,Liverpool,2,1
2019-01-02,Wolves,Crystal Palace,0,2
2019-01-02,West Ham,Brighton,2,2
2019-01-02,Huddersfield,Burnley,1,2
2019-01-02,Chelsea,Southampton,0,0
2019-01-02,Bournemouth,Watford,3,3
2019-01-02,Newcastle,Man Utd,0,2
2019-01-01,Everton,Leicester,0,1
2019-01-01,Arsenal,Fulham,4,1
2019-01-01,Cardiff,Spurs,0,3
2018-12-30,Crystal Palace,Chelsea,0,1
2018-12-30,Southampton,Man City,1,3
2018-12-30,Burnley,West Ham,2,0
2018-12-30,Man Utd,Bournemouth,4,1
2018-12-29,Watford,Newcastle,1,1
2018-12-29,Spurs,Wolves,1,3
2018-12-29,Leicester,Cardiff,0,1
2018-12-29,Fulham,Huddersfield,1,0
2018-12-29,Brighton,Everton,1,0
2018-12-29,Liverpool,Arsenal,5,1
2018-12-27,Southampton,West Ham,1,2
2018-12-26,Fulham,Wolves,1,1
2018-12-26,Spurs,Bournemouth,5,0
2018-12-26,Man Utd,Huddersfield,3,1
2018-12-26,Liverpool,Newcastle,4,0
2018-12-26,Leicester,Man City,2,1
2018-12-26,Crystal Palace,Cardiff,0,0
2018-12-26,Burnley,Everton,1,5
2018-12-26,Brighton,Arsenal,1,1
2018-12-26,Watford,Chelsea,1,2
2018-12-23,Everton,Spurs,2,6
2018-12-22,Cardiff,Man Utd,1,5
2018-12-22,Arsenal,Burnley,3,1
